Ruta	Descripción	Fecha Gaceta	Fecha Vigencia
217	SAN JOSE-URBANIZACION LA PAZ	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	SAN JOSE-SAN RAFAEL	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	SAN JOSE-SAN ANTONIO DE BELEN	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	LA GUACIMA-LA ASUNCION DE BELEN	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	LA GUACIMA-SAN ANTONIO DE BELEN	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	LA GUACIMA-SAN RAFAEL	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	SAN RAFAEL-LA ASUNCION DE BELEN	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
217	SAN RAFAEL-SAN ANTONIO DE BELEN	TRANSPORTES FERNANDO ZUÑIGA E HIJOS S.A.	(RA-147)
218	  EXT CIUDAD QUESADA-BETANIA	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-SAN MARCOS DE CUTRIS	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-SAN PEDRO	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-BELLAVISTA	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-SAN JORGE DE CUTRIS	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-SANTA TERESA	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-CRUCE A SANTA TERESA	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-ARENAL	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-KOOPER	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-MUELLE	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-PLATANAR	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-QUEBRADA AZUL	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
218	CIUDAD QUESADA-FLORENCIA	TRANSPORTES MCA DE CIUDAD QUESADA S.A.	(RA-452)
219	GRECIA-SANTA ISABEL DE RIO CUARTO	CUVA TRANSPORTES LTDA	(RA-229)
219	GRECIA-SANTA RITA DE RIO CUARTO	CUVA TRANSPORTES LTDA	(RA-229)
219	GRECIA-RIO CUARTO	CUVA TRANSPORTES LTDA	(RA-229)
219	GRECIA-BAJOS DEL TORO AMARILLO	CUVA TRANSPORTES LTDA	(RA-229)
220	ALAJUELA-Bº SAN JOSE Y RAMALES	AUTOTRANSPORTES BARRIO SAN JOSÉ LTDA	(RA-357)
221	ALAJUELA-HACIENDA	TRANSPORTES ITACA S.A.	(RA-219)
221	ALAJUELA-CALLE LORIA	TRANSPORTES ITACA S.A.	(RA-219)
221	ALAJUELA-TACACORI	TRANSPORTES ITACA S.A.	(RA-219)
221	ALAJUELA-INVU	TRANSPORTES ITACA S.A.	(RA-219)
221	ALAJUELA-ITIQUIS	TRANSPORTES ITACA S.A.	(RA-219)
222	ALAJUELA-EL ROBLE	VILLA BONITA S.A.	(RA-127)
235	ALAJUELA-SAN ANTONIO	VILLA BONITA S.A.	(RA-127)
235	ALAJUELA-LOTES MURILLO	VILLA BONITA S.A.	(RA-127)
235	ALAJUELA-MONSERRAT	VILLA BONITA S.A.	(RA-127)
223	ALAJUELA-LAS VUELTAS	VILLA BONITA S.A.	(RA-127)
223	ALAJUELA-LA GUACIMA	VILLA BONITA S.A.	(RA-127)
223	ALAJUELA-CIRUELAS	VILLA BONITA S.A.	(RA-127)
223	ALAJUELA-EL ROBLE	VILLA BONITA S.A.	(RA-127)
223 BS	ALAJUELA-CIRUELAS	VILLA BONITA S.A.	(RA-127)
223 A	ALAJUELA-RINCON HERRERA	VILLA BONITA S.A.	(RA-127)
223 B	ALAJUELA-URBANIZACION LA PRADERA	VILLA BONITA S.A.	(RA-127)
223 C	ALAJUELA-CALLE SANCHEZ	VILLA BONITA S.A.	(RA-127)
225-A	ALAJUELA-MONTECILLOS	TRANSPORTES MONTECILLOS DE ALAJUELA S.A.	(RA-133)
225-A	ALAJUELA-PLYWOOD	TRANSPORTES MONTECILLOS DE ALAJUELA S.A.	(RA-133)
226	ALAJUELA-EL CACAO-ALTOS Y RINCON DE CACAO	CALVO Y ALFARO S.A.	(RA-399)
227	ALAJUELA-PUENTE NEGRO	CAGUA DE ALAJUELA S.A.	(RA-109)
227	ALAJUELA-GUADALUPE	CAGUA DE ALAJUELA S.A.	(RA-109)
227	ALAJUELA-AZUCELAS-LA LOMA	CAGUA DE ALAJUELA S.A.	(RA-109)
227	ALAJUELA-LOS ANGELES-LA GUARIA-CALLE FLORY	CAGUA DE ALAJUELA S.A.	(RA-109)
227	ALAJUELA-CANOAS-PROVIDENCIA	CAGUA DE ALAJUELA S.A.	(RA-109)
228	SAN PEDRO DE POAS-ALAJUELA	RUBIER ROJAS ALFARO	(RA-171)
228	SAN PEDRO DE POAS-BAJO CARRILLOS	RUBIER ROJAS ALFARO	(RA-171)
228	SAN PEDRO DE POAS-ALTO CARRILLOS	RUBIER ROJAS ALFARO	(RA-171)
228	SAN PEDRO DE POAS-CHILAMATE	RUBIER ROJAS ALFARO	(RA-171)
228	ALAJUELA-CARRILLOS DE POAS	RUBIER ROJAS ALFARO	(RA-171)
229	ALAJUELA-PUENTE RIO ALAJUELA-BOSQUE ENCANTADO	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
229	ALAJUELA-CALLE LOS LLANOS	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
229	ALAJUELA-EL COYOL X PISTA	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
229	ALAJUELA-IGLESIA	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
229	ALAJUELA-VILLA RICA	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
229	CALLE LOS LLANOS-PUENTE RIO ALAJUELA-BOSQUE ENCANTADO	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
231	ALAJUELA-CALLE VARGAS	AUTOTRANSPORTES TAMBOR S.A.	(RA-217)
231	ALAJUELA-TACACORI x TAMBOR	AUTOTRANSPORTES TAMBOR S.A.	(RA-217)
231	ALAJUELA-TAMBOR	AUTOTRANSPORTES TAMBOR S.A.	(RA-217)
231	ALAJUELA-CRUCE GRECIA	AUTOTRANSPORTES TAMBOR S.A.	(RA-217)
231	Bº SAN JOSE-TACACORI	AUTOTRANSPORTES TAMBOR S.A.	(RA-217)
231	ALAJUELA-TAMBOR-TACACORI	AUTOTRANSPORTES TAMBOR S.A.	(RA-217)
232	  EXT ALAJUELA-CRUCE VOLCAN POAS (JAULARES)	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	  EXT ALAJUELA-LAGUNA DE FRAIJANES	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	  EXT ALAJUELA-DULCE NOMBRE	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	  EXT ALAJUELA-EL CERRO POR SAN ISIDRO	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	  EXT ALAJUELA-EL CERRO POR CALLE VARGAS	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	  EXT ALAJUELA-LA CHAPARRA	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	ALAJUELA-LOS ANGELES	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	ALAJUELA-SABANILLA POR SAN ISIDRO	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	ALAJUELA-SABANILLA POR CALLE VARGAS	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	ALAJUELA-SAN ISIDRO	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	ALAJUELA-PILAS	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
232	ALAJUELA-CALLE VARGAS	COOPERATIVA DE TRANSPORTES DE SABANILLA Y SAN ISIDRO DE ALAJUELA R.L. (COOPETRANSASI R. L.)	(RA-001)
233	ALAJUELA-SAN RAFAEL-SAN ANTONIO DE BELEN	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	ALAJUELA-SAN RAFAEL-LA REFORMA	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	ALAJUELA-CALLE MONGE-SAN FRANCISCO	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	SAN RAFAEL-SAN ANTONIO DE BELEN	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	SAN RAFAEL-COCO-REFORMA-URB. LOS PORTONES	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	ALAJUELA-EL COCO	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	ALAJUELA-LA ASUNCION DE BELEN-OJO DE AGUA	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	ALAJUELA-SAN ANTONIO DE BELEN	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
233	ALAJUELA-LA CANDELA	AUTOTRANSPORTES CAMBRONERO ALFARO S.A.	(RA-072)
224	ALAJUELA-CALLE LA TIGRA-PUEBLO NUEVO-LA TIGRA-CALLE ESPERANZA	EMPRESA HERMANOS BONILLA S.A.	(RA-172)
234	CIUDAD QUESADA-UPALA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-COLONIA PUNTARENAS	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-SAN LUIS DE UPALA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-EL VALLE	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-ENTRADA AL VALLE	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-KATIRA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-GUATUSO	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-MONTERREY	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-LA FORTUNA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-EL TANQUE	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-LOS ANGELES	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-LA VEGA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-JAVILLOS	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-SANTA CLARA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-CUESTILLAS	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-FLORENCIA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-PUENTE CASA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	GUATUSO-EL VALLE	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	GUATUSO-FLORENCIA	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	UPALA-GUATUSO	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
234	CIUDAD QUESADA-LA TIGRA DE VENADO	EMPRESARIOS UNIDOS DEL NORTE S.R.L.	(RA-185)
238	GRECIA-LA ARGENTINA	TRANSPORTES MURILLO NAVARRO S.R.L.	(RA-101)
238	GRECIA-PERALTA	TRANSPORTES MURILLO NAVARRO S.R.L.	(RA-101)
238	GRECIA-RINCON DE ARIAS	TRANSPORTES MURILLO NAVARRO S.R.L.	(RA-101)
238	  EXT GRECIA-SAN DIMAS	TRANSPORTES MURILLO NAVARRO S.R.L.	(RA-101)
238	  EXT GRECIA-PULPERIA MARIO	TRANSPORTES MURILLO NAVARRO S.R.L.	(RA-101)
239	ALAJUELA-DULCE NOMBRE	TRANSPORTES CHARO DE ALAJUELA S.A.	(RA-200)
239	ALAJUELA-LA MANDARINA	TRANSPORTES CHARO DE ALAJUELA S.A.	(RA-200)
239	ALAJUELA-Bº SAN JOSE	TRANSPORTES CHARO DE ALAJUELA S.A.	(RA-200)
510	SAN JOSE-BAGACES	TRANSPORTES CHARO DE ALAJUELA S.A.	(RA-200)
241	GRECIA-SAN VICENTE-LA ARENA-EL GUAYABAL-SANTA GERTRUDIS	EMPRESA DE AUTOTRANSPORTES SANTA GERTRUDIS LTDA	(RA-034)
242	GRECIA-BARRIO LATINO-LOS ANGELES-CAJON	EMPRESA DE AUTOTRANSPORTES SANTA GERTRUDIS LTDA	(RA-034)
243	GRECIA-BARRIO LATINO-SAN ROQUE-SAN MIGUEL-CARBONAL-EXT HIGUERONES	EMPRESA DE AUTOTRANSPORTES SANTA GERTRUDIS LTDA	(RA-034)
244	GRECIA-COOPERATIVA-SANTA GERTRUDIS-SAN RAFAEL-SAN PEDRO DE POAS Y RAMALES: CALLE EL ACHIOTE-CALLE ROSALES-CALLE SAN JOSE-CALLE RODRIGUEZ-CALLE EL SITIO-LA Y GRIEGA(CAMINO A LOS CHORROS), SANTA ROSA, RATONCILLAL, CHURUCA, GUATUSA, CALLE LILES, LOS LOTES	EMPRESA DE AUTOTRANSPORTES SANTA GERTRUDIS LTDA	(RA-034)
274	SAN PEDRO DE POAS-SANTA ROSA	Se elimina	Se elimina
274	SAN PEDRO DE POAS-CALLE LILES	Se elimina	Se elimina
274	SAN PEDRO DE POAS-GUATUZA	Se elimina	Se elimina
274	SAN PEDRO DE POAS-LOS LOTES	Se elimina	Se elimina
274	SAN PEDRO DE POAS-SAN RAFAEL	Se elimina	Se elimina
245	GRECIA-CALLE RODRIGUEZ	PORFIRIO ROJAS SUCESORES S.A.	(RA-118)
245	GRECIA-SAN FRANCISCO	PORFIRIO ROJAS SUCESORES S.A.	(RA-118)
245	GRECIA-SAN ISIDRO	PORFIRIO ROJAS SUCESORES S.A.	(RA-118)
245	GRECIA-COOPERATIVA VICTORIA	PORFIRIO ROJAS SUCESORES S.A.	(RA-118)
247	ATENAS-BALSA	IVAN ALPIZAR RODRÍGUEZ	(RA-134)
247	ATENAS-PAN DE AZUCAR	IVAN ALPIZAR RODRÍGUEZ	(RA-134)
247	ATENAS-RIO GRANDE	IVAN ALPIZAR RODRÍGUEZ	(RA-134)
247	ATENAS-LOS ANGELES	IVAN ALPIZAR RODRÍGUEZ	(RA-134)
247	RIO GRANDE-ESTACION	IVAN ALPIZAR RODRÍGUEZ	(RA-134)
247	RIO GRANDE-CRUCE LA GARITA	IVAN ALPIZAR RODRÍGUEZ	(RA-134)
248	PITAL-PANGOLA	JAVIER CARRANZA VARGAS	No Tiene RA
248	PITAL-SAN RAFAEL 	JAVIER CARRANZA VARGAS	No Tiene RA
249	ATENAS-Bº SAN JOSE NORTE	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
249	ATENAS-MORAZAN ARRIBA	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
249	ATENAS-ALTO LOPEZ	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
249	ATENAS-MORAZAN ABAJO	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
249	ATENAS-Bº SAN JOSE SUR	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
250	ATENAS-SANTA EULALIA	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
252	ATENAS-PAVAS	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
252	ATENAS-SAN ISIDRO (BENEFICIO)	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
252	ATENAS-BAJO CACAO	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
252	ATENAS-PLANCILLO	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
252	ATENAS-Bº MERCEDES	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
252	ATENAS-Bº FATIMA	COOPERATIVA DE TRANSPORTE DE USUARIOS DE ATENAS, R. L. (COOPETRANSATENAS, R. L.)	(RA-021)
294	SAN RAMON URBANO-PERIFERICA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON URBANO-COPAN-EL PORO	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-PIEDADES SUR	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-SAN MIGUEL	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-BARRANCA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CRUCE BOLIVAR	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CRUCE CATARATAS	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-SAN PEDRO	CORPORACION CETOSA, S.A.	(RA-467)
294	  EXT SAN RAMON-POTRERILLOS-EL SALVADOR	CORPORACION CETOSA, S.A.	(RA-467)
294	  EXT SAN RAMON-CATARATAS-BALNEARIO LAS MUSAS	CORPORACION CETOSA, S.A.	(RA-467)
294	  EXT SAN RAMON-BOLIVAR	CORPORACION CETOSA, S.A.	(RA-467)
294	  EXT SAN RAMON-LA GUARIA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-OROZCO-CALLE ZAMORA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-BENEFICIO	CORPORACION CETOSA, S.A.	(RA-467)
294	BENEFICIO-CALLE ZAMORA	CORPORACION CETOSA, S.A.	(RA-467)
294	OROZCO-CALLE ZAMORA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-LA BALSA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-ALTO LA BALSA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-LOS ANGELES NORTE	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-LOS ANGELES SUR	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CALLE ANGELES-ALTO LA LIDIA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CALLE VALVERDE ABAJO	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CALLE VALVERDE ARRIBA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-PULPERIA "EL ALFOLI"	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-SAN PEDRO	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-SAN ISIDRO   EXT CALLE RAMIREZ (MICROBUSES)	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-RINCON DE MORA	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-RINCON DE SALAS	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-SAN RAFAEL	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-LA UNION	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CRUCE LAS BRUMAS	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CONCEPCION CENTRO	CORPORACION CETOSA, S.A.	(RA-467)
294	SAN RAMON-CHAPARRAL	CORPORACION CETOSA, S.A.	(RA-467)
254	ALAJUELA-SAN RAFAEL DE POAS	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	ALAJUELA-SAN PEDRO DE POAS	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	ALAJUELA-QUEBRADAS	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	ALAJUELA-TAMBOR	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT  SAN PEDRO-POASITO	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT  SAN PEDRO DE POAS-FRAIJANES	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT SAN PEDRO DE POAS-PUENTE COLORADO	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT SAN PEDRO DE POAS-SABANA REDONDA	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT SAN PEDRO DE POAS-SAN JUAN SUR	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT SAN PEDRO DE POAS-SAN JUAN NORTE	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT SAN PEDRO DE POAS-CALLE SAN JOSE	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	  EXT SAN PEDRO DE POAS-LA HILDA SANTA CECILIA	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	SAN PEDRO DE POAS-POASITO-VARA BLANCA	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
254	SAN PEDRO DE POAS-LOS MURILLO (ALTURA)	TRANSPORTES UNIDOS POASEÑOS S.A. (TUPSA)	(RA-019)
257	NARANJO-LOURDES	TRANSPORTES CUBERO BONILLA DE CIRRI LTDA	(RA-043)
257	NARANJO-CIRRI	TRANSPORTES CUBERO BONILLA DE CIRRI LTDA	(RA-043)
257	NARANJO-BAMBU	TRANSPORTES CUBERO BONILLA DE CIRRI LTDA	(RA-043)
257	NARANJO-CRUCE	TRANSPORTES CUBERO BONILLA DE CIRRI LTDA	(RA-043)
257	NARANJO-SAN ANTONIO BARRANCAS	TRANSPORTES CUBERO BONILLA DE CIRRI LTDA	(RA-043)
257	NARANJO-SAN RAFAEL	TRANSPORTES CUBERO BONILLA DE CIRRI LTDA	(RA-043)
256	NARANJO-PERALTA-EL HOYO	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
256	NARANJO-ROSARIO-LOS VARGAS	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
256	NARANJO-PUENTE PILAS-EL LLANO	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
258-259	NARANJO-CAÑUELAS	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
258-259	NARANJO-SAN JUANILLO	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
258-259	NARANJO-SAN JUAN	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
258-259	NARANJO-EL MURO	TRANSPORTES BENAVIDES ACUÑA S.A.	(RA-297)
260-1222	NARANJO-PALMITOS	MARIO HERNÁNDEZ VARGAS	(RA-298)
260-1222	NARANJO-RIO GRANDE	MARIO HERNÁNDEZ VARGAS	(RA-298)
260-1222	NARANJO-CONCEPCION	MARIO HERNÁNDEZ VARGAS	(RA-298)
260-1222	NARANJO-CANDELARIA	MARIO HERNÁNDEZ VARGAS	(RA-298)
260-1222	NARANJO-EL MURO	MARIO HERNÁNDEZ VARGAS	(RA-298)
261	NARANJO-SAN ROQUE	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
261	NARANJO-LA CUEVA	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
261	NARANJO-SAN ANTONIO	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
261	NARANJO-GUARUMAL	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
261	NARANJO-CANDELARIA	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
261	NARANJO-EL MURO	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
1254	NARANJO-CANDELARIA-CINCO ESQUINAS-PUEBLO NUEVO	TRANSPORTES ADRIAN VARGAS E HIJOS S.A.	No Tiene RA
263	OROTINA-SAN ISIDRO LABRADOR	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263	OROTINA-JESUS MARIA	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263	SAN MATEO-SAN ISIDRO LABRADOR	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263	SAN MATEO-JESUS MARIA	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263	OROTINA-HIGUITO	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263	OROTINA-SAN MATEO	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263 EXT	  EXT OROTINA-PUNTARENAS	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263 EXT	OROTINA-ESPARZA	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263 EXT	ESPARZA-PUNTARENAS	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263 EXT	OROTINA-SAN RAFAEL-BARON	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
263 EXT	OROTINA-JESUS MARIA	TRANSPORTES ARAYA ARGUEDAS HERMANOS LIMITADA	(RA-157)
262	NARANJO-SAN MIGUEL OESTE	COMPAÑÍA CARBACHEZ E HIJOS E.I.R.L.	(RA-139)
